,createTime,specificEnergy (kWh/kWp),plantid,dayEnergy (kWh),irradiation (Wh/msq),kWp,plant_nr
0,2018-01-01,0.22,100127,2373.3,113.62499460000001,10787.727272727274,Plant1
1,2018-01-02,0.8,100127,8473.74,115.9119805,10592.175,Plant1
2,2018-01-03,0.1,100127,1089.09,104.28335679999999,10890.899999999998,Plant1
3,2018-01-04,0.17,100127,1774.73,84.96763438,10439.588235294117,Plant1
4,2018-01-05,0.26,100127,2740.0,131.18126039999999,10538.461538461537,Plant1
5,2018-01-06,0.93,100127,9904.73,105.37834269999999,10650.247311827956,Plant1
6,2018-01-07,1.06,100127,11263.72,119.8369007,10626.150943396226,Plant1
7,2018-01-08,1.0,100127,10555.15,112.2982871,10555.15,Plant1
8,2018-01-09,0.96,100127,10198.04,108.4989246,10622.958333333334,Plant1
9,2018-01-10,0.1,100127,1058.25,101.3303422,10582.5,Plant1
10,2018-01-11,0.1,100127,1045.19,100.0798113,10451.9,Plant1
11,2018-01-12,0.07,100127,700.75,67.09873591,10010.714285714284,Plant1
12,2018-01-13,0.03,100127,292.79,23.990519524,9759.666666666668,Plant1
13,2018-01-14,0.12,100127,1258.18,120.4741884,10484.833333333334,Plant1
14,2018-01-15,0.08,100127,869.46,83.25318148,10868.25,Plant1
15,2018-01-16,0.4,100127,4286.71,102.6160621,10716.775,Plant1
16,2018-01-17,0.37,100127,3925.15,125.2812954,10608.513513513513,Plant1
17,2018-01-18,0.16,100127,1723.86,165.0643266,10774.125,Plant1
18,2018-01-19,0.35,100127,3761.21,120.04872710000001,10746.314285714287,Plant1
19,2018-01-20,0.35,100127,3730.52,119.0691765,10658.628571428571,Plant1
20,2018-01-21,0.69,100127,7328.44,116.9530408,10620.927536231884,Plant1
21,2018-01-22,0.28,100127,2933.97,93.64522687,10478.464285714284,Plant1
22,2018-01-23,0.21,100127,2253.21,107.87552099999999,10729.57142857143,Plant1
23,2018-01-24,0.13,100127,1394.87,21.5841356,10729.769230769229,Plant1
24,2018-01-25,0.65,100127,6923.17,89.0173936,10651.030769230769,Plant1
25,2018-01-26,0.31,100127,3302.76,42.8869454,10654.064516129032,Plant1
26,2018-01-27,0.45,100127,4773.69,57.70659263,10608.199999999999,Plant1
27,2018-01-28,0.27,100127,2851.99,38.24196479,10562.925925925925,Plant1
28,2018-01-29,0.46,100127,4829.35,61.21571592,10498.58695652174,Plant1
29,2018-01-30,0.86,100127,9072.42,112.0914989,10549.32558139535,Plant1
30,2018-01-31,0.2,100127,2082.92,28.97229912,10414.6,Plant1
31,2020-10-31,1.0,100127,10563.2,127.9513465,10563.2,Plant1
32,2018-02-01,1.02,100127,10806.93,136.9317468,10595.029411764706,Plant1
33,2018-02-02,0.19,100127,2054.65,29.35517414,10813.947368421053,Plant1
34,2018-02-03,0.16,100127,1713.35,27.23857966,10708.4375,Plant1
35,2018-02-04,0.18,100127,1876.34,53.34462742,10424.111111111111,Plant1
36,2018-02-05,1.01,100127,10706.21,143.3373873,10600.207920792078,Plant1
37,2018-02-06,1.12,100127,11878.33,147.9041224,10605.651785714284,Plant1
38,2018-02-07,1.28,100127,13539.16,165.9938197,10577.46875,Plant1
39,2018-02-08,2.08,100127,22042.8,281.1212843,10597.5,Plant1
40,2018-02-09,1.44,100127,15263.12,185.2091793,10599.38888888889,Plant1
41,2018-02-10,0.36,100127,3818.71,48.44355644,10607.527777777777,Plant1
42,2018-02-11,0.18,100127,1947.28,34.91057945,10818.222222222223,Plant1
43,2018-02-12,1.24,100127,13153.38,158.4839862,10607.564516129032,Plant1
44,2018-02-13,0.94,100127,9939.12,145.4973277,10573.531914893618,Plant1
45,2018-02-14,2.73,100127,28901.97,342.4629325,10586.802197802199,Plant1
46,2018-02-15,0.52,100127,5522.04,67.20265465,10619.307692307691,Plant1
47,2018-02-16,0.8,100127,8426.83,132.2773938,10533.537499999999,Plant1
48,2018-02-17,1.01,100127,10655.47,122.867353,10549.970297029702,Plant1
49,2018-02-18,0.8,100127,8425.27,97.2565073,10531.5875,Plant1
